"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
circ_abdominal,lipodistrofia,,text,"Circunferência abdominal",,,,,,,,,,,,,
circ_de_quadril,lipodistrofia,,text,"Circunferência de quadril",,,,,,,,,,,,,
circ_de_pescoco,lipodistrofia,,text,"Circunferência de pescoço",,,,,,,,,,,,,
circ_de_coxa_direita,lipodistrofia,,text,"Circunferência de coxa direita",,,,,,,,,,,,,
circ_de_coxa_esquerda,lipodistrofia,,text,"Circunferência de coxa esquerda",,,,,,,,,,,,,
pa_sist,lipodistrofia,,text,"Pressão arterial sistólica",,,number,0,300,,,,,,,,
pa_dias,lipodistrofia,,text,"Pressão arterial diastólica",,,number,0,200,,,,,,,,
frequencia_cardiaca,lipodistrofia,,text,"Frequência cardíaca",,,number,0,,,,,,,,,
acanthosis_nigricans,lipodistrofia,,radio,"Acanthosis nigricans","1, Sim | 2, Não",,,,,,,,,,,,
locais,lipodistrofia,,text,Locais?,,,,,,,"[acanthosis_nigricans] = '1'",,,,,,
prega_de_coxa,lipodistrofia,,text,"Prega de coxa",,,,,,,,,,,,,
prega_de_braco_esquerdo,lipodistrofia,,text,"Prega de braço esquerdo",,,,,,,,,,,,,
prega_subescapular,lipodistrofia,,text,"Prega subescapular",,,,,,,,,,,,,
prega_de_panturrilha,lipodistrofia,,text,"Prega de panturrilha",,,,,,,,,,,,,
indice_de_kob,lipodistrofia,,text,"Índice de Kob",,,,,,,,,,,,,
mapeamento_de_retina,lipodistrofia,,dropdown,"Mapeamento de retina","1, Normal | 2, Sem retinopatia diabética | 3, Retinopatia diabética não proliferativa leve | 4, Retinopatia diabética não proliferativa moderada | 5, Retinopatia diabética não proliferativa grave | 6, Retinopatia diabética proliferativa | 7, Retinopatia hipertensiva grau 1 | 8, Retinopatia hipertensiva grau 2 | 9, Retinopatia hipertensiva grau 3 | 10, Retinopatia hipertensiva grau 4",,,,,,,,,,,,
escore_de_calcio,lipodistrofia,,text,"Escore de Cálcio",,,,,,,,,,,,,
igf1,lipodistrofia,,text,IGF-1,,,,,,,,,,,,,
homair,lipodistrofia,,text,HOMA-IR,,,,,,,,,,,,,
insulina,lipodistrofia,,text,Insulina,,,,,,,,,,,,,
peptideo_c,lipodistrofia,,text,"Peptídeo C",,,,,,,,,,,,,
glicemia_em_jejum,lipodistrofia,,text,"Glicemia em jejum",,,,,,,,,,,,,
hemoglobina_glicada,lipodistrofia,,text,"Hemoglobina glicada",,,,,,,,,,,,,
leptina,lipodistrofia,,text,Leptina,,,,,,,,,,,,,
ureia,lipodistrofia,,text,Ureia,,,,,,,,,,,,,
creatinina,lipodistrofia,,text,Creatinina,,,,,,,,,,,,,
funcao_renal,lipodistrofia,,dropdown,"Função renal","1, G1 Normal ou Alto (>90) | 2, G2 Diminuição ligeira (60-89) | 3, G3a Diminuição moderada (45-59) | 4, G3b Diminuição pouco severa (30-44) | 5, G4 Diminuição grave (15-29) | 6, G5 Falência renal (<15)",,,,,,,,,,,,
tgo,lipodistrofia,,text,TGO,,,,,,,,,,,,,
tgp,lipodistrofia,,text,TGP,,,,,,,,,,,,,
ggt,lipodistrofia,,text,GGT,,,,,,,,,,,,,
fosfatase_alcalina,lipodistrofia,,text,"Fosfatase alcalina",,,,,,,,,,,,,
tsh,lipodistrofia,,text,TSH,,,,,,,,,,,,,
t4l,lipodistrofia,,text,T4L,,,,,,,,,,,,,
anticorpo_antimicrossomal,lipodistrofia,,text,"Anticorpo antimicrossomal",,,,,,,,,,,,,
anticorpo_antitireoglobul,lipodistrofia,,text,"Anticorpo antitireoglobulina",,,,,,,,,,,,,
cpk,lipodistrofia,,text,CPK,,,,,,,,,,,,,
ct,lipodistrofia,,text,CT,,,,,,,,,,,,,
ldlc,lipodistrofia,,text,LDLc,,,,,,,,,,,,,
hdlc,lipodistrofia,,text,HDLc,,,,,,,,,,,,,
triglicerideos,lipodistrofia,,text,Triglicerídeos,,,,,,,,,,,,,
nhdlc,lipodistrofia,,text,nHDLc,,,,,,,,,,,,,
vldlc,lipodistrofia,,text,VLDLc,,,,,,,,,,,,,
ttgo,lipodistrofia,,text,TTGO,,,,,,,,,,,,,
microalbuminuria,lipodistrofia,,text,Microalbuminúria,,,,,,,,,,,,,
relacao_albuminacreatinin,lipodistrofia,,radio,"Relação Albumina/Creatinina","1, Normal com ligeiro aumento (<30 mg/g) | 2, Aumento moderado (30-300 mg/g) | 3, Aumento grave (>300 mg/g)",,,,,,,,,,,,
us_de_abdome_total,lipodistrofia,,radio,"Ultrassonografia de abdome total","1, Normal | 2, Esteatose hepática leve | 3, Esteatose hepática moderada | 4, Esteatose hepática grave | 5, Outras alterações",,,,,,,,,,,,
imc_1,lipodistrofia,,text,IMC,,,,,,,,,,,,,
dmo,lipodistrofia,,text,DMO,,,,,,,,,,,,,
imma,lipodistrofia,,text,IMMA,,,,,,,,,,,,,
img,lipodistrofia,,text,IMG,,,,,,,,,,,,,
gv,lipodistrofia,,text,GV,,,,,,,,,,,,,
androide,lipodistrofia,,text,Androide,,,,,,,,,,,,,
gtgp,lipodistrofia,,text,GT/GP,,,,,,,,,,,,,
ag,lipodistrofia,,text,A/G,,,,,,,,,,,,,
ginoide,lipodistrofia,,text,Ginóide,,,,,,,,,,,,,
mma,lipodistrofia,,text,MMA,,,,,,,,,,,,,
mm_tronco,lipodistrofia,,text,"MM tronco",,,,,,,,,,,,,
gc,lipodistrofia,,text,%GC,,,number,0,100,,,,,,,,
mg_mmii,lipodistrofia,,text,"MG MMII",,,,,,,,,,,,,
mm_mmii,lipodistrofia,,text,"MM MMII",,,,,,,,,,,,,
mg_mmss,lipodistrofia,,text,"MG MMSS",,,,,,,,,,,,,
mm_mmss,lipodistrofia,,text,"MM MMSS",,,,,,,,,,,,,
mm_tronco_1,lipodistrofia,,text,"MM tronco",,,,,,,,,,,,,
mg_tronco,lipodistrofia,,text,"MG tronco",,,,,,,,,,,,,
ecocardiograma,lipodistrofia,,text,Ecocardiograma,,,,,,,,,,,,,
doppler,lipodistrofia,,text,Doppler,,,,,,,,,,,,,
elastografia,lipodistrofia,,text,Elastografia,,,,,,,,,,,,,
fibroscan,lipodistrofia,,text,Fibroscan,,,,,,,,,,,,,
ecg,lipodistrofia,,text,ECG,,,,,,,,,,,,,
mapa,lipodistrofia,,text,MAPA,,,,,,,,,,,,,
holter,lipodistrofia,,text,Holter,,,,,,,,,,,,,
teste_genetico,lipodistrofia,,radio,"Teste genético","1, Positivo | 2, Negativo",,,,,,,,,,,,
qual,lipodistrofia,,text,Qual?,,,,,,,"[teste_genetico] = '1'",,,,,,
homozigose,lipodistrofia,,radio,Homozigose,"1, Sim | 2, Não",,,,,,,,,,,,
anc_amerindia,lipodistrofia,,text,"Ancestralidade ameríndia (%)",,,number,0,120,,,,,,,,
anc_europeia,lipodistrofia,,text,"Ancestralidade europeia (%)",,,number,0,120,,,,,,,,
anc_africana,lipodistrofia,,text,"Ancestralidade africana (%)",,,number,0,120,,,,,,,,
