Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
obesidade,lipodistrofia,,radio,Obesidade,"1, Sim | 2, Não",,,,,,,,,,,,
quem_5,lipodistrofia,,text,Quem?,,,,,,,[obesidade] = '1',,,,,,
autoimune_1,lipodistrofia,,radio,Doenças autoimunes,"1, Sim | 2, Não",,,,,,,,,,,,
quais,lipodistrofia,,text,Quais?,,,,,,,[autoimune_1] = '1',,,,,,
quem_6,lipodistrofia,,text,Quem?,,,,,,,[autoimune_1] = '1',,,,,,
consanguinidade_dos_pais,lipodistrofia,,radio,Consanguinidade dos pais,"1, Sim | 2, Não",,,,,,,,,,,,
exame_fisico_e_antropomet,lipodistrofia,,descriptive,Exame Físico e Antropometria,,,,,,,,,,,,,
peso,lipodistrofia,,text,Peso,,,number,0,300,,,,,,,,
altura,lipodistrofia,,text,Altura,,,number,0,250,,,,,,,,
imc,lipodistrofia,,text,IMC,,,number,0,100,,,,,,,,
classificacao,lipodistrofia,,dropdown,Classificação,"1, Baixo peso | 2, Eutrófico | 3, Sobrepeso | 4, Obesidade grau 1 | 5, Obesidade grau 2 | 6, Obesidade grau 3",,,,,,,,,,,,
circ_abdominal,lipodistrofia,,text,Circunferência abdominal,,,number,0,200,,,,,,,,
circ_de_quadril,lipodistrofia,,text,Circunferência de quadril,,,number,0,200,,,,,,,,
circ_de_pescoco,lipodistrofia,,text,Circunferência de pescoço,,,number,0,200,,,,,,,,
circ_de_coxa_direita,lipodistrofia,,text,Circunferência de coxa direita,,,number,0,200,,,,,,,,
circ_de_coxa_esquerda,lipodistrofia,,text,Circunferência de coxa esquerda,,,number,0,200,,,,,,,,
pa_sist,lipodistrofia,,text,Pressão arterial sistólica,,,number,0,300,,,,,,,,
pa_dias,lipodistrofia,,text,Pressão arterial diastólica,,,number,0,200,,,,,,,,
frequencia_cardiaca,lipodistrofia,,text,Frequência cardíaca,,,number,0,250,,,,,,,,
acanthosis_nigricans,lipodistrofia,,radio,Acanthosis nigricans,"1, Sim | 2, Não",,,,,,,,,,,,
locais,lipodistrofia,,text,Locais?,,,,,,,[acanthosis_nigricans] = '1',,,,,,
prega_de_coxa,lipodistrofia,,text,Prega de coxa,,,,,,,,,,,,,
prega_de_braco_esquerdo,lipodistrofia,,text,Prega de braço esquerdo,,,,,,,,,,,,,
prega_subescapular,lipodistrofia,,text,Prega subescapular,,,,,,,,,,,,,
prega_de_panturrilha,lipodistrofia,,text,Prega de panturrilha,,,,,,,,,,,,,
indice_de_kob,lipodistrofia,,text,Índice de Kob,,,,,,,,,,,,,
mapeamento_de_retina,lipodistrofia,,dropdown,Mapeamento de retina,"1, Normal | 2, Sem retinopatia diabética | 3, Retinopatia diabética não proliferativa leve | 4, Retinopatia diabética não proliferativa moderada | 5, Retinopatia diabética não proliferativa grave | 6, Retinopatia diabética proliferativa | 7, Retinopatia hipertensiva grau 1 | 8, Retinopatia hipertensiva grau 2 | 9, Retinopatia hipertensiva grau 3 | 10, Retinopatia hipertensiva grau 4",,,,,,,,,,,,
escore_de_calcio,lipodistrofia,,text,Escore de Cálcio,,,,,,,,,,,,,
exames_laboratoriais,lipodistrofia,,descriptive,Exames Laboratoriais,,,,,,,,,,,,,
igf1,lipodistrofia,,text,IGF-1,,,,,,,,,,,,,
homair,lipodistrofia,,text,HOMA-IR,,,,,,,,,,,,,
insulina,lipodistrofia,,text,Insulina,,,,,,,,,,,,,
peptideo_c,lipodistrofia,,text,Peptídeo C,,,,,,,,,,,,,
glicemia_em_jejum,lipodistrofia,,text,Glicemia em jejum,,,,,,,,,,,,,
hemoglobina_glicada,lipodistrofia,,text,Hemoglobina glicada,,,,,,,,,,,,,
leptina,lipodistrofia,,text,Leptina,,,,,,,,,,,,,
